text_id,text,task_1,task_2,task_3
hasoc_en_5168,"@ICC You are biased with @msdhoni.   He should be allowed to wear gloves with insignia. It doesn't convey any meaning which may hurt someone's sentiments. Actually, it shows respect to soldiers and countries. #DhoniKeepsTheGlove #DhoniVsICC",NOT,NONE,NONE
hasoc_en_104,Ireland prove that england never won the worldcup just iCC gave them favour fuck icc pigs #ENGvIRE,HOF,PRFN,TIN
hasoc_en_1783,@McConnellPress. #TrumpIsATraitor #TrumpIsAMoron #YouAreATraitor   #ResignTrump. #ResignMcconnell   #ElaineChao. Is as crooked as #DitchMitch2020 https://t.co/FRq0SR8dz8,NOT,NONE,NONE
hasoc_en_3893,FATAH: Why Shariah mortgage is a deception https://t.co/saoQ8EdbxE  #IMA    #IMAJewelsFraud   #IMAJewels  #IMAScam   #IMAFraud  #MansoorKhan  #IMAFraudCase   #Bangalore,NOT,NONE,NONE
hasoc_en_2192,"#DhoniKeepsTheGlove if ICC does not allow, wear a #BalidanBadge 'Locket' @msdhoni. Also urge all proud Indian viewers to display posters of batch in Pak match. Jai Hind..",NOT,NONE,NONE
hasoc_en_2134,'I'm not from Central Casting'  It seems Sajid javid has hired some American campaign consultants.   #C4debate #ToryLeadershipContest #Conservatives #BorisJohnsonShouldNotBePM https://t.co/dxAEzkkEcM,NOT,NONE,NONE
hasoc_en_1802,"@eviebauer727 I went to Costco the other day &amp; saw same item prices has gone up 💯 so I flipped over the box &amp; saw the print “made in China”. Im@afraid my Chinese grocery bill will also go up. The gov isn’t paying 4 this, I am. So this is #TRUMPTAX &amp; he’s killing us in so many ways #IdiotTrump",NOT,NONE,NONE
hasoc_en_4354,#Trump the Moronic Bully is Sabotaging the U.S. &amp; the World #FuckTrump #TrumpMustGo #ImpeachTrump #Progressive #Dems #Progressives #Resistance #Resist #Trumpism #TraitorTrump #PutinsPuppet #TradeWar #TrumpTariffs #NotMyPresident #Tariffs #TrumpRussia #FBR https://t.co/dx2v0VCtma,HOF,PRFN,TIN
hasoc_en_2482,#DonaldTrump Has Sold Out America To The Fricking Enemy Russian Commie Soviet 'REDS'  #MoreSanctionsOnRussia 'NOW'  #FuckTrump  Nuff Said ! .😠 https://t.co/hYPhOaUrcw,HOF,HATE,TIN
hasoc_en_2615,We support .Balidan badge is pride of India. But  cricket is commercial.let us see. #DhoniKeepsTheGlove,NOT,NONE,NONE
hasoc_en_2544,#DoctorsFightBack #Doctorsprotest #DoctorsStrike I support my fellow colleagues. https://t.co/3PXLSskhHl,NOT,NONE,NONE
hasoc_en_3626,@ICC Rain will take all 20 wickets.... #ShameOnICC,NOT,NONE,NONE
hasoc_en_47,#ParisAttacks  are also an attack on humanity & a real eye opener for pseudo secularist people of europe. #RefugeesGoBack,NOT,NONE,NONE
hasoc_en_3266,@rajnathsingh ji are presstitutes authorised to belittle/disrespect the Officers &amp; their armed forces under the garb of journalism?     #DhoniKeepsTheGlove https://t.co/sCZM4G4Ntv,NOT,NONE,NONE
hasoc_en_272,I didn't realise it had ever broken down (or was ever allowed to operate fully in the first place because of British Government oppression).,NOT,NONE,NONE
hasoc_en_2424,Golden state had two players re-injure themselves in the same game. \n\nDon\'t blame the doctors\n\nFuck them doctors.,HOF,PRFN,TIN
hasoc_en1_6419,Now this is something which genuinely demands an appreciation.  What @MamataOfficial couldn't do   the hard working MP @SuPriyoBabul ensures it gets done .  https://twitter.com/SuPriyoBabul/status/1143772767910813696?s=19 …,NOT,NONE,NONE
hasoc_en_4662,"@cricketworldcup What a poor advertisement of #CWC19      Hope same thing happens for #INDvPAK match.    @ICC deserves it.    Poor Schdule, Poor Ground conditions, Poor Rules &amp; Regulations.    Important tournament is wasted.    #ShameOnICC",HOF,HATE,TIN
hasoc_en_3078,"So far, 4 matches have been dusty by rain Why do not understand @ICC before making your biggest event? While #Dhoni's gloves look so much!😏  #CWC19 #INDvNZ #dhonikeepstheglove",HOF,HATE,TIN
hasoc_en_60,"@MamataOfficial Begum Mamata worry not.    Wise People of West Bengal kick you out of office soon now.    Your arrogance,    your anti-Hindu stand,    anti-Doctors stand,    anti-Indian culture stand,    your WB anti-development stand,    your anti-Muslim development stand    brings you down.",HOF,OFFN,TIN
hasoc_en_72,"#boycottzomato #IStandWithAmit #Zomato you have two rules simultaneously for hindus and for muslims..... And that's not fair.... We live in a democratic secular country where every 1 has the right of choice.... By hurting the majority sentiments, you have taken a risk...Not fair.",HOF,HATE,TIN
hasoc_en_2532,"@ICC - See, We just focused on Gloves only!  #INDvNZ #dhonikeepstheglove #ViratKohli https://t.co/Xyn44ijRH2",NOT,NONE,NONE
hasoc_en_2064,Thank you all for the New Followers! Twitter is being a butch and will only allow me to follow back a few at a time.  I will get to you all ASAP! #resisters #fucktrump  #muchlove,NOT,NONE,NONE
hasoc_en_5101,@TimesNow @iSamiakapoor Bloody hypocrites. @INCIndia though decimated will not stop fingering. I want 2 see what name will @RahulGandhi take at his oath taking. @drswamy did he respond to the courts on his british citizenship? #PragyaOathRow #congresskaANYAY #CongressMuktBharat @htTweets @AmitShahOffice,HOF,PRFN,TIN
hasoc_en_3211,"Where the hell was Indian Medical Association, when more than 60 children died due to lack of Oxygen in Gorakhpur in just 24 hours #DoctorsFightBack #DoctorsUnderOppression #Gorakhpur",NOT,NONE,NONE
hasoc_en_436,@realDonaldTrump @OANN ✌💚💜🍫🎨🍯😘  #GTFOofMyWhitehouse  #Traitors  #NazisNOTWelcome  #NOQUARTER4Racist  #NOQUARTER4RacistSympathizers  #ResignORImpeach  #Derelict  #Unfit  #Incompetent   #Rapist   #ImpeachTheMF   G E T  O U T...❗❗❗  GET THEM ALL O U T ❗❗❗. https://t.co/gJxuEn4jDa,NOT,NONE,NONE
hasoc_en_697,#TraitorTrump Thanks Mitch #TraitorMcConnell For Covering Up His Russia Crimes   #TrumpIsATraitor  https://t.co/djz8zEhBeR,NOT,NONE,NONE
hasoc_en_801,#ToryLeadershipDebate Brexit #Brexit Boris Johnson #borisjohnson #BorisJohnsonShouldNotBePM #Boris    When will Bullshit Boris be allowed to open his mouth and derail his campaign?,HOF,PRFN,TIN
hasoc_en_769,Yes. Please take your places in Westminster and do something constructive. Rhetoric isn't useful.,NOT,NONE,NONE
hasoc_en_4865,My new @PopSockets came today 😚😊😁  🖕🖕Trump #FuckTrump https://t.co/HT6B6OJhIK,HOF,PRFN,TIN
hasoc_en_3591,"@gtconway3d Your posts fascinate me. You seem to care about America and our democracy yet stay married to a woman who lies, breaks rules and possibly laws, and supports corruption in Trump’s administration. I think this may all be a game to you.   #TrumpIsATraitor",NOT,NONE,NONE
hasoc_en_38,@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .,NOT,NONE,NONE
hasoc_en_3681,@AlanCol83626003 @Yellowbelly2019 It will be a bigly war. He has the best wars. Nobody has better wars.  #fucktrump,NOT,NONE,NONE
hasoc_en_240,I think word cup should be conducted by BCCI. ICC doesn't have enough funds to cover ground also😂😂  #ShameOnICC,NOT,NONE,NONE
hasoc_en_234,Some of the GOP in Congress I find utterly disgusting. It’s almost impossible to listen to them try to justify fucked up trump. It’s really disheartening #FuckTrump #FuckTheGOP,HOF,PRFN,TIN
hasoc_en_713,"@gumby6111984 Yea, but Hamlin always deserves a good walling.  #DoucheBag    ... &amp; everyone wants to throw Deegz a good lay ...  Go figure ...",NOT,NONE,NONE
hasoc_en_744,"We’ve also achieved the highest debt in history, become a laughing stock among our allies, and discovered more corrupt members of the trump administration and associates than any other time in history. #FuckTrump #FuckPence #FuckTheGOP and #FuckMoscowMitch",HOF,OFFN,TIN
hasoc_en1_7511,"Donning the orange-blue jersey, unbeaten India seek to seal semifinal spot against desperate England. On @My11Circle presents #CricbuzzLIVE, @gbhimani, @ImZaheer and @robbieuthappa discuss the rip-roaring encounter.    #ENGvIND #TeamIndia #INDvENG",NOT,NONE,NONE
hasoc_en_1043,Proud of paramilitary forces and proud of Dhoni  #DhoniKeepsTheGlove https://t.co/EJbKeLitfp,NOT,NONE,NONE
hasoc_en1_4169,Tension in:    -Mirzapur: Radicals beat up Man going to Temple    -Meerut: Boys fire toy guns outside Temple to spread fear.    -Madaidih: Mob attacked People returning from funeral.    -Dilari: Radicals killed Man for accusing them of daughter’s kidnapping.    Kuch mat bolo Secularism hai,HOF,HATE,TIN
hasoc_en_1545,More evidence piles in.      Happy #JohnMcCainDay #TrumpIsATraitor #TrumpCrimeFamily #Oreo #DitchMitch2020 #arrestBARR  #Vets https://t.co/1R3hhH3mxW,NOT,NONE,NONE
hasoc_en_1666,"@ShashiTharoor Even after this you won't criticise #Mamta Govt. A mob of 200 people attacks an hospital beat the hell out of doctors, terrorizes the patients , hit an 22 yr old doc. So badly that his skull is broken &amp; he is in a state of coma. 1/2     #DoctorsFightBack #DoctorStrike",NOT,NONE,NONE
hasoc_en_3011,Racists? Yes. Shocked? No. Yes it leaves me cold but under the Trump regime nothing shocks or surprises me anymore. I truly with my entire being wish it did.   #TrumpIsNotAboveTheLaw #TrumpIsATraitor #CBPRacistAgents 🤬 https://t.co/vLWryl84xx,HOF,OFFN,TIN
hasoc_en_2752,Men's Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/bzQdQSy57b,HOF,PRFN,TIN
hasoc_en_3886,"@realDonaldTrump @MarshaBlackburn You are happy because you have already committed #Treason, Right?    You have asked for and accepted 'dirt'.You have accepted a Bribe from them all! And you will continue to do It!  You have always been Corrupt!   #LockhimUp  #TrumpCorruption   #TrumpIsATraitor   #ImpeachTrumpNow",HOF,OFFN,TIN
hasoc_en_2226,Retweet if you have PayPal/CashApp and want me to send you money 💰     Must be following.    #findom #paypig sugar daddy #cuck #moneyslave #cashcow #SugarBabiesNeeded #CopaAmerica #DoctorsFightBack #bank #SugarDaddys #findom #bitcoin #blockchain #BREAKING #SaturdayMorning #money #BC,NOT,NONE,NONE
hasoc_en_1942,"No matter what, we stand with you @msdhoni sir!!!  #DhoniKeepsTheGlove #BalidaanBadge #IndiaWithDhoni https://t.co/wGmCvLKHZg",NOT,NONE,NONE
hasoc_en_2285,Vox Sentences: Maine moves to expand abortion access #Resist #ResistTrump #FuckTrump https://t.co/FRjTApznIs,NOT,NONE,NONE
hasoc_en_4532,#Conservative destroys #TraitorTrump for saying he ‘loves his country’ — with a barrage of examples of how he has betrayed America #TrumpIsATraitor  https://t.co/8xH8f5TGdM,NOT,NONE,NONE
hasoc_en_2155,#DhoniKeepsTheGlove  #DhoniKeSaathDesh  #IndiaWithDhoni    What you support ?,NOT,NONE,NONE
hasoc_en_399,"Has Mamata Banerjee wished the doctor fraternity today? #DoctorsDay is inspired by Dr Bidhan Chandra Roy, Bharat Ratna and second CM of Bengal. Ironically, West Bengal now has a CM who thinks it is ok for doctors to die in the line of duty because it suits her communal politics!",HOF,HATE,TIN
hasoc_en_5613,#ShameOnICC @ICC should be investigated for why they choose England as venue and at this time. Thai may turn to be a scam. Fans bought so expensive tickets 1 year ago and the arrangements to cover grounds is wrost than club cricket. @ICC  #ShameOnYou,HOF,HATE,TIN
hasoc_en_2021,"SHAME ON @ICC For Concentrating on @msdhoni 's glove rather than on substandard Quality of Umpiring... @icc being biased, Partial #DhoniKeepsTheGlove #DhoniKeepTheGlove #IndiaWithDhoni",NOT,NONE,NONE
hasoc_en_3746,BJP MP Ananth Kumar Hegde caught on camera beating up doctor at Karnataka hospital   https://t.co/OhxJqT5N0w  #Savethedoctors   #DoctorsProtest   #DoctorsFightBack   #DoctorsStrike,NOT,NONE,NONE
hasoc_en_3429,"@realDonaldTrump DUDE, just because you keep repeating it, does NOT make it true.      #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌∏┐ (•˽•)┌∏┐",HOF,PRFN,TIN
hasoc_en_143,"tell the DUP you want your money back unless they agree to get back to work. if that doesn’t work , tell them you’re not funding their salaries until they do.",NOT,NONE,NONE
hasoc_en_3358,#DoctorsFightBack THIS REMINDS ME OF THE  NAVNIRMAN ANDOLAN IN GUJARAT  OF1993/1994 WHICH ENDED WITH THE OUSTER OF THE THEN CM CHIMAN PATEL. @MamataOfficial HAS GONE MUCH AHEAD OF CHIMAN &amp; MUST GRACEFULLY RESIGN OR THE WRITING IS ON THE WALL  #MamataGoBack,NOT,NONE,NONE
hasoc_en_178,"@SenateGOP @realDonaldTrump Happy #JohnMcCainDay,  @SenateGOP!      #TrumpTheDraftDodger #McCainTrumpsBday #JohnMcCainAmericanHero #TrumpIsATraitor #JohnMcCainDay https://t.co/Ozqhp9i89e",NOT,NONE,NONE
hasoc_en_246,Disappointment Remains #ShameOnICC https://t.co/g5ou0TLN3I,NOT,NONE,NONE
hasoc_en_1058,This is getting bigger!  Dr. Plaban Mukherjee the first cardiologist to carry out a successful heart transplant in a govt. medical hospital in India &amp; East India resigns.  #SaveTheDoctors #DoctorsFightBack… https://t.co/Ad1yko9i9d,NOT,NONE,NONE
hasoc_en_51,Acoustic &amp; Electric Guitar Kits from Rs.1699    https://t.co/wXRyzchSIH    Guitars &amp; Other Musical Instruments Upto 75% off    https://t.co/NCQt99ChnD    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE
hasoc_en_5142,@peterkessler @CharlieRymerPGA This guy isn’t worth your time Charlie. #douchebag,NOT,NONE,NONE
hasoc_en_102,Analysis: Sarah Sanders' legacy: The death of the White House press briefing #Resist #ResistTrump #FuckTrump https://t.co/jjU0hqifun,NOT,NONE,NONE
hasoc_en_3902,@eugenegu @jake_avis84 @realDonaldTrump What’s it cost these days to buy a medical degree from the islands? Maybe I could be called doctor too! #DoucheBag @AmerMedicalAssn @FoxNews @seanhannity @TuckerCarlson,NOT,NONE,NONE
hasoc_en_1177,Trump Says in Oval Office Interview If Russia Offered Dirt on His 2020 Opponent He’d Do Exactly What He Did Before—Take It #Resist #ResistTrump #FuckTrump https://t.co/mGM7eImay6,NOT,NONE,NONE
hasoc_en_40,"West Bengal: State Health Department bus carrying representatives of doctors scheduled to meet CM Mamata Banerjee in Nabanna, today. ",NOT,NONE,NONE
hasoc_en_458,@brianstelter @OANN I went looking for dickheads this weekend and I found you.  #douchebag,HOF,PRFN,TIN
hasoc_en_3493,@TheRealOJ32 Awesome! Can you teach me how to murder someone with a knife? #murderer,HOF,OFFN,UNT
hasoc_en_1658,Put a stick in this man's hand. Whether it be drum or pool or match or etc. He will murder something with it. #murderer #killer #maxthunder #angelicdesolation #pool #playingpool #poolhustler #thatboysgotthedevilinhim… https://t.co/LYJzsLlMTx,HOF,OFFN,TIN
hasoc_en_3177,#spermineye #rapist #weed #waitTHEconversationto make you cleanse me,NOT,NONE,NONE
hasoc_en_409,Rain is in forecast on Sunday. The match between India and pakistan is likely to be called off. #Worstworldcup #ShameOnICC,NOT,NONE,NONE
hasoc_en_5484,"ANOTHER DAY VOLUNTEERING AT THE VENICE MEDICAL SCHOOL. EVERYONE KEEPS ASKING ME IF THEY CAN FUCK THE LEECHES. BUDDY, THEY WONT EVEN LET ME FUCK THEM",HOF,PRFN,TIN
hasoc_en_2246,"I’m a comedian and as a group we’re: selfish, chaotic, narcissistic, disorganised, needy and entirely self obsessed. I wouldn’t trust a comedian with anything apart from a microphone and an audience.    And those are the exact reasons why #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
hasoc_en_1421,@TheRealOJ32 The first tweet should be: 'I did it.'  And then you should shut up forever.  #MURDERER,NOT,NONE,NONE
hasoc_en_5598,@PaulJHenshaw @radi_georgi @DevonRexUK1 #Dickhead as an alternative... https://t.co/xAfY4gR28p,HOF,PRFN,UNT
hasoc_en_1570,"Mohammed Amin the chairman of the Conservative Muslim Forum has made comparisons between leadership hopeful Boris Johnson and Adolf Hitler, and will quit if Johnson becomes prime minister..  https://t.co/706JhSS0eS    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/O4nhc9aqit",NOT,NONE,NONE
hasoc_en_4907,I got to knw d rsn behind most of d countries mocking us is bcz v r more concerned towards #CWC19 n blaming #ICC rather than focusing on real issues. People hv made a trend #ShameOnICC instead of helping Sudanese.    #CWC19,HOF,HATE,UNT
hasoc_en_4267,@realDonaldTrump @FoxNews Wasn't your grandparent a draft dodger &amp; 'undocumented immigrant'? Didn't your wife lie on her application &amp; overstay it? Funny how you hate 'immigrants' who pay more in taxes &amp; work harder than you ever have or ever will.   #TrumpIsATraitor #IllegitimatePOTUS #RacistInChief https://t.co/LUB7LXpVbp,NOT,NONE,NONE
hasoc_en_3537,How to fuck your footie career before its even started #dickhead https://t.co/LlUzAdLdVL,HOF,PRFN,TIN
hasoc_en_5805,@StopFakeCases @MumbaiPolice @CPMumbaiPolice Cannot disclose until the fake case she filed is quashed. AS long as it's on..  she's a 'Victim'.    And karan roams with hashtag of #rapist until proven innocent.  And even after.. people will still associate him with it.. so UNFAIR. #Mentoo,HOF,HATE,UNT
hasoc_en_5722,What is more boring than waiting for match when rain interrupt? Watching West indies bat.  Who plays defensive shots when a part timer comes  #ShameOnICC  #ENGvWI,NOT,NONE,NONE
hasoc_en_4349,#LeonPanetta: #Trump’s Foreign Dirt Bombshell Violates Oath Of Office .....#TrumpIsATraitor  https://t.co/L0hZijZcUo,HOF,HATE,TIN
hasoc_en_4980,Dumbass in Chief at it again with his dumbassery! #FuckTrump https://t.co/AGxT0pnv0z,HOF,PRFN,TIN
hasoc_en_469,#Zomato This article of mine is a tribute to the courage and values shown by this company and its founder @deepigoyal   May this usher in a new era of sensibility and sanity. Thank you @ZomatoIN   http://saptarshinag.in/2019/07/31/i-love-you-zomato/ …,NOT,NONE,NONE
hasoc_en_643,"@fawadchaudhry Yes he is going to fought war against the world top teams (we consider this as Mahabarath) , yes we admit that he is in England for playing cricket, this shows his patriotism toward the Indian army.  Is this isn't the huge issue #DhoniKeepsTheGlove",NOT,NONE,NONE
hasoc_en_4715,Proud of my fraternity! #Savethedoctors #DoctorsFightBack #DoctorsStrike #doctors_against_assualt #humanity https://t.co/7qDS6BkC5R,HOF,HATE,UNT
hasoc_en_2313,"#ShameOnICC the weather we cannnot control, investment in covers you can..... as for some of the ticket prices truly shocking. Like the Champions trophy last year you would rather have stack of empty Corporate seats than a stadium full of excited fans. 105 pound for Eng Bangla👿",NOT,NONE,NONE
hasoc_en_2579,"ये धोनी इंडिया के लिए खेलता है या @BCCI के लिए ?  #DhoniKeepsTheGlove , it's a nonsense hastag run by India , these players are puppet of #BCCI , unfortunately I too participated in this hastag . https://t.co/yn0zdvPtYZ https://t.co/L6Gkqm600I",NOT,NONE,NONE
hasoc_en_3162,World cup turning out to be raincup while @ICC giving us a world cup where we get to see every drama related to the sport except a good cricket match #ICCWorldCup2019 #ShameOnICC #raincup @ECB_cricket @BCCI https://t.co/Sr7HVIJ1VB,NOT,NONE,NONE
hasoc_en_5495,"#GandiNaaliAbuse... Those who are unhappy with Modiji, call him names should be asked to leave the country...Waris Pathan should be the first to leave along with Owaisi they won't find a place to live in this world as everyone will reject hypocrats like them.",HOF,HATE,TIN
hasoc_en_474,#ShameOnICC Fans have been left frustrated as rain delays and washouts are slowly starting to dominate the narrative around the World Cup.ICC should feel ashamed as Eden Gardens has facility of full covering during a rain threat in Kolkata Why not London? 4 matches already lost.,NOT,NONE,NONE
hasoc_en_3784,#etsy shop: Trump Nixon Covfefe and the Crook President T-Shirt https://t.co/GGe44Hd1OZ #clothing #shirt #trump #nixon #president #protest #impeach #resist #fucktrump #taxday #MuellerReport #LindseyGraham #BarrHearing #BarrLied #BarrCoverUp #ImpeachBarrAndtRump #ImpeachTrumpNow https://t.co/2Acrf5a6G1,NOT,NONE,NONE
hasoc_en_3952,Wasn't that the point?   #TrumpIsATraitor https://t.co/B8bDDIhFGu,NOT,NONE,NONE
hasoc_en_3540,"Absolutely brutal,what them young kids went through. For no reason, they suffered because of politics #fucktrump who wants to kill kids of America who were innocent #whentheyseeus",HOF,OFFN,TIN
hasoc_en_695,"This man rejected food because it was delivered by a muslim. But he would have not even known if the cook was muslim had the delivery person been a Hindu. He would have been relishing the food and giving good ratings. Seriously, this is taking it too far.",NOT,NONE,NONE
hasoc_en_1966,@realDonaldTrump The dishonest Trump crime family objectives is to steal from the US taxpayers. So sad! The true enemy of the people is the GOP for allowing the atrocity known as Benedict Donald to remain in the Oval Office. #PutinsPuppet #TrumpIsATraitor #trumpisaloser,NOT,NONE,NONE
hasoc_en_2032,#DoctorsFightBack MB shouldn't be allowed to meet the injured doctor till all the attackers are arrested.,NOT,NONE,NONE
hasoc_en_2227,"@SethAbramson Trump is operating an international Crime Syndicate within the United States Government. He's feeling the heat, and here's proof of #TraitorTrump's M.O. in a former tweet. #TrumpIsaTraitor #ImpeachTrumpNow https://t.co/wH1chVuzjl",NOT,NONE,NONE
hasoc_en_512,Almond #OnePlus7Pro coming today at 12 NOON  Get Ready to get your GOLD ! on @amazonIN 👇👇👇    #OnePlus7IsHere #OnePlus7 #smartphone #AmazonSpecials #FridayMotivation #FridayFeelings #NBAFinals #ShameOnICC #WeTheNorth #CWC19 #ENGvWI #MIBWithMN #MIBInternational #MIB,NOT,NONE,NONE
hasoc_en_3897,"The 'coronation' of #Boris? Will just 312 Tory MPs or 124,000 Tory Party members be allowed to pick the next British PM in a country of 65 million? How can this be possible in a 'democracy'? The #UK can no longer pretend to be a democracy. 😡 #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
hasoc_en_2522,@ANI #DoctorsFightBack  #DoctorsProtest  #India  Kindly don't befool doctors by writing letters to CMs. It is a futile eyewash exercise. Immediately pass ordinance to protect medical staff. #IMA must go on indefinite strike in the entire country till an ordinance is passed. #WestBengal,NOT,NONE,NONE
hasoc_en_1695,These depictions of Noah’s Ark are accidentally gay—and people are here for it #Resist #ResistTrump #FuckTrump https://t.co/n4Inw90fuc,NOT,NONE,NONE
hasoc_en_1759,Another snappy hashtag from @NSoames.    #SomebodyexplaintohimhowtheyworkforChristssake    #BorisJohnsonShouldNotBePM  #C4debate #Channel4Debate https://t.co/RVSnEmwDTX,NOT,NONE,NONE
