text_id,text,task_1,task_2,task_3
hasoc_en_3481,@realDonaldTrump Correction: our Farmers need this because you continue to screw them with your “brilliant” trade strategies. #FuckTrump,NOT,NONE,NONE
hasoc_en_1100,I dunno. Syphilis red?  -mao  #BillClinton #rapist #HillaryClinton #RapistEnabler #orangemanbad https://t.co/QS1eoVHsue,NOT,NONE,NONE
hasoc_en_1054,When you really like a certain celebrity and then they come out as an #antivaxxer 🤦🏽‍♀️ How embarrassing @JessicaBiel #dickhead,HOF,PRFN,TIN
hasoc_en_2866,"A hearty fuck you to this ALL DAY sweep notice, targeting an individual unhoused resident in Chinatown. \n\nThis is so cruel, forcing someone to choose between guarding objects they need to survive (tents, medication) and going anywhere (work, doctor\'s appt).\n\n#ServicesNotSweeps pic.twitter.com/dhnqOMNfAc",HOF,PRFN,TIN
hasoc_en_756,"BJP ‘collecting garbage’, says Mamata Banerjee on defecting TMC leaders via @htTweets https://www.hindustantimes.com/india-news/bjp-collecting-garbage-says-mamata-banerjee-on-defecting-tmc-leaders/story-Mamata … Banerji is honest to say that TMC men are corrupt and they are like garbage.",HOF,HATE,TIN
hasoc_en_1906,Some Cars its wiser to stay away from!!  😣😔😥... 😅😁😁😁😁😏  #fear #not #eyes #open #peeled #set #up #enemy #truly #beware #liars #molestors #rapist #all #shit #eat #eaters #tire #not #solid #soldier #God #first https://t.co/AEILxDvfFG,NOT,NONE,NONE
hasoc_en_2641,Well done #TeamIndia   Love forever..  Keep it up.  #ProudOfU @ImRo45 @imVkohli @imkuldeep18    #IndiavsPakistan   #terroristNationPakistan,NOT,NONE,NONE
hasoc_en_2511,@ShashiTharoor A #newborn baby was died too in the so call #DoctorsFightBack,NOT,NONE,NONE
hasoc_en_5655,Yesterday England got 2 points bcz of Rain Lost..  @ICC  @BCCI  @cricketworldcup  #ShameOnICC,HOF,HATE,TIN
hasoc_en_2642,"IMA ponzi scam: 7 directors arrested, over 20,000 complaints filed    #IMAfraud #PonziScheme     https://t.co/lC7UJFIvSm",NOT,NONE,NONE
hasoc_en_196,Poor bhajji  .  .  .  #worldcup #ipl #cricket #cwc #viratkohli #india #icc #indiancricketteam #rohitsharma #msdhoni #teamindia #dhoni #pakistan #virat  #bhfyp #tilltoss,NOT,NONE,NONE
hasoc_en_1010,"Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove #DhoniKeepsTheGlove",HOF,HATE,TIN
hasoc_en_215,Japanese internment camp all over again but with latinos kids!  This shit is going way too far now!!  Family separation has been upgraded!!! #FuckTrump #Bernie2020 #BernieSanders https://t.co/0BcRJVno0e,NOT,NONE,NONE
hasoc_en_199,"Ngl people pitting refugees against homeless people in Ireland is a pretty sick and twisted world view. They’re both emergencies ya daft yokes, stop making people’s lives into a competition #RefugeesAreWelcome #HomelessCrisis",NOT,NONE,NONE
hasoc_en_3296,@KellyannePolls to Leave @WhiteHouse Immediately and Begin New Job at Kremlin    https://t.co/4NZ3HtqCdk    #FuckTrump #ImpeachTrumpNow,NOT,NONE,NONE
hasoc_en_775,The monkey would be much more interesting in my opinion! #fucktrump #RacistTrump #RapistInChief @POTUS,NOT,NONE,NONE
hasoc_en_2141,Rain may dampen Star's plans to earn around ₹100 cr from India-Pak WC match #CricketWorldCup2019 #INDvsPAK #ShameOnICC #hotstar #IndianCricketTeam https://t.co/quAs7wiWet,NOT,NONE,NONE
hasoc_en_4530,@realDonaldTrump @POTUS LET'S GO DOWN YOUR MEMORY LANE! #rapist #TERRORISTTRUMP #NAZITRUMP #PUTINSBITCH #TRAITOR #LiarInChief #DEMENTEDINCHIEF #Predator #justiceForKatie #whereisMaria https://t.co/fUo1tqs3WE,HOF,PRFN,TIN
hasoc_en1_744,Al the best. Win at least 50 seats in up,NOT,NONE,NONE
hasoc_en_1927,"@Miz_banks @PenceConscience Well technically yes,  but I think that's a lot of effort. I have people and pages I follow, that I built over time. I'll accept the time out, it was worth it. #fucktrump #byefelicia",NOT,NONE,NONE
hasoc_en_300,"Over 300 doctors resigned indians put status when Paris cathedral fired who don't even know about it's history, but can't put status supporting doctors bcs they feel high when they put story on Paris &amp; feel low if they put story supporting Drs    #DoctorsFightBack #SaveTheDoctors",NOT,NONE,NONE
hasoc_en_2355,"@pashyantii About time to give this tournament a cold shoulder, let @ICC suffer some losses. #DhoniKeepsTheGlove",NOT,NONE,NONE
hasoc_en1_336,I am Thankful To Mr @danish786aimim1 and @ShaukatAli_77 Sahab for creating #Member_OF_IT_CELL_AIMIM    BAHRAICH,NOT,NONE,NONE
hasoc_en_1023,"So basically @BorisJohnson does not tell the truth. Not only does he not tell the truth, he made promises that he came nowhere close to delivering and does not seem to care. What is his motivation? It is unlikely to be your welfare. #BorisJohnsonShouldNotBePM https://t.co/LLQyqRatVM",HOF,HATE,TIN
hasoc_en_1973,"Hon. CM Mamata ji, with how many people will you fight. Every person of this nation has become 'BJP Ka Goonda'! Because they are with BJP!! and support Prime Minister @narendramodi.     #DoctorsFightBack",NOT,NONE,NONE
hasoc_en_2629,#icc should be ashamed of it's negligence. It has people's money and time. should apologize of its mismanagement.  #ShameOnICC #icc #CWC19 #RainStopsMatch https://t.co/JEhpPLQ6aJ,NOT,NONE,NONE
hasoc_en_788,#ShameOnICC..  Rain cup... Give the cup to England.. The decision was made.,NOT,NONE,NONE
hasoc_en_657,Click &amp; Read: Crotch Rocket #Tool [poetry] https://t.co/LHWvc1lCzY #crotchrocket #douchebag #funny #poetry #streetbike,NOT,NONE,NONE
hasoc_en_2300,Don't know if the math is correct but #ShameOnICC https://t.co/czmt2cwpk9,NOT,NONE,NONE
hasoc_en_2184,@MrsGandhi @priyankagandhi Vinash kaale vipreet budhhi  The sister is just as half minded as his brother. #congressmuktbharat,HOF,OFFN,TIN
hasoc_en_697,#TraitorTrump Thanks Mitch #TraitorMcConnell For Covering Up His Russia Crimes   #TrumpIsATraitor  https://t.co/djz8zEhBeR,NOT,NONE,NONE
hasoc_en_12,When you're #woke and still can't see. #RefugeesAreWelcome ,NOT,NONE,NONE
hasoc_en_1821,@ssudhirkumar For me it’s greed of those 12 congress MLAs...who joined corrupt friendly @INCIndia in dream of free-taxpayers money..!    Never imagined this too a way to #CongressMuktBharat 😀😍👍🏼👌🏼,NOT,NONE,NONE
hasoc_en_4238,Kenneth Clarke: ‘If there’s no other way you’ve got to bring the government down’  The Tory veteran talks of his dismay at the ‘fantasies’ of the leadership race and his fears if Boris Johnson becomes PM https://t.co/A3R8X9LxeN  #BorisJohnsonShouldNotBePM   #SummerOfResistance,HOF,HATE,TIN
hasoc_en_3574,@MikeCarlton01 We will still blindly follow them into another war manufactured by a corrupt and inept president to further his own political and financial needs. #fucktheusa #fucktrump,NOT,NONE,NONE
hasoc_en_761,"Hey Liz, do you normally put up a flag in your office of the country you’re about to call?  Or are you in Australia, in which case, why are you on the phone, and not meeting in person. Asking for a friend.  #Brexit",NOT,NONE,NONE
hasoc_en_5644,"#DoctorsFightBack | 'We are doctors, we are not CPM, we are not BJP, we are not outsiders, we are doctors!,' say protesting doctors at NRS Hospital in Kolkata refuting West Bengal CM Mamata Banerjee, even as doctors from across India stand with them https://t.co/LGCyJUEBn5 https://t.co/C0dRZfqxto",HOF,HATE,TIN
hasoc_en_3479,@adam_ni This is what your country will soon look like if you EVER let #China in-in any way‼️Finance/joint ventures/land ownership/infrastructure or 5G‼️Yes they own HK but we got complacent while Britain had it’s 99 year lease-this is no longer the #HongKong we knew!💔💔💔#BoycottChina🇨🇳,NOT,NONE,NONE
hasoc_en_320,faking a whole ass engagement for clout lmaoaoaoaoao cant wait to see what happens next week on muslim twittah,HOF,PRFN,TIN
hasoc_en_2252,Martin Rowson on Tory MPs voting for a new leader #BorisJohnson #MichaelGove #BorisJohnsonShouldNotBePM #Boris4PM #cartoon #ToryLeadership #MichaelGove #DominicRaab #JeremyHunt #SajidJavid #RoryStewart #BoJo - political cartoon gallery in London https://t.co/dePcTdnXF6 https://t.co/mVjGdsTDxf,NOT,NONE,NONE
hasoc_en_5332,"@WhiteHouse @realDonaldTrump @SecAzar You actually expect us to believe this bullshit? Mitch McConnell has been hell bent on taking away our healthcare for years, maybe decades. How many “Infrastructure Weeks” have we had while the country’s bridges crumble?   How about disaster relief? #FuckTrump #FuckTheGOP",NOT,NONE,NONE
hasoc_en_96,@kojikabu @Maggie_Klaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020,HOF,HATE,TIN
hasoc_en_5455,Govt school adopted by IMA appointed unqualified teachers based on their     #IMAFraud #PonziScheme     investments https://t.co/rqt6X1YdBQ,HOF,HATE,TIN
hasoc_en_1212,Violence is not the answer. It doesn't get you what you've lost nor does it give you the satisfaction of justice. Doctors deserve better than this.   #DoctorsFightBack #Srinivasdubba,NOT,NONE,NONE
hasoc_en1_4068,Just returned to Delhi after Election Campaigning in Bihar & UP. First thing in the morning I will visit the grief stricken Tyagi family in Basaidarapur at 9 AM,NOT,NONE,NONE
hasoc_en_4563,History of East Turkestan  https://t.co/Ypn4HgNlsA  #Uyghur #FreeUyghur #EastTurkistan #China #StopChina #BoycottChina #Genocide #ウイグル #RT,NOT,NONE,NONE
hasoc_en_3196,"@MattHancock Your vision and BoJos are seemingly poles apart!  He is not One Nation, he’s dangerous and not bothered about anything or anyone except #Boris. Have you sold out for a promise you can keep your job?  #noprinciples #sellout #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
hasoc_en_3654,"@MeckeringBoy Or all of the above, and some. He really does take the term #Dickhead to a new level.",HOF,PRFN,TIN
hasoc_en_5283,@geoman7447 @h8Wankmaggot45 Hey #DoucheBag here’s a PSA! 🖕 https://t.co/88lH2KPVwG,HOF,PRFN,TIN
hasoc_en_539,@Cernovich And you hang around with the likes of Jacob @$$Wohl. I had to look you up as I had no idea who the eff you even were. Found out that you weren't anything. #douchebag,NOT,NONE,NONE
hasoc_en_3949,Dear @ICC Offering namaz on field is not a bigg issue but Wearing glove containing Army logo( non political non religious not harming anyone’s sentiments) is objectable for icc ! @BCCI #DhoniKeepsTheGlove #DhoniKeepBalidaanBadgeGlove  Or we(hindustani) start #boycottworldcup,HOF,HATE,TIN
hasoc_en1_1977,Best wishes for alliance  It showed that while having skills you did alliance with unskilled politicians  Even a child can tell you the truth.Best wishes for allianceIt showed that while having skills you did alliance with unskilled politiciansEven a child can tell you the truth.…,NOT,NONE,NONE
hasoc_en_4241,@LindseyGrahamSC @realDonaldTrump Of course he'll shoot his age! He cheats. #DerangedDonald #TrumpisaCrook #TrumpisaTraitor #TrumpHatesAmerica,HOF,HATE,TIN
hasoc_en_3415,"@arifmohammadk Indians do not have any connection with the logic in any way. #DhoniKeepsTheGlove is a useless campaign. Better sense should prevail. Its a cricket game, play it with sportsmanship and dont try to be Chaudhary of cricket.  Adivce from Pakistan",NOT,NONE,NONE
hasoc_en_3471,@ABC @GStephanopoulos Beyond stupid. Cheetolini just wants to spend my taxes on a shiny new toy.  #FuckTrump,NOT,NONE,NONE
hasoc_en_1884,@beth_weissman yep and now he's on Twitter saying he has a lot of ' getting even to do ' 🔪 #murderer,NOT,NONE,NONE
hasoc_en_982,prison would be too good for him. #toryscum #murderer  #Grenfell  https://t.co/4WXWQZ5Mwq,NOT,NONE,NONE
hasoc_en_4231,@pmanley82 @HMRCgovuk Let's RoooooAAaaR! #LoanChargeSuicides  #TigerBoy #Philbert #Murderer https://t.co/ynxH81lNSE,HOF,HATE,TIN
hasoc_en_1290,@Markfry809 I blocked him!  #MURDERER,NOT,NONE,NONE
hasoc_en1_3958,Each of the divorce must be pronounced with a stipulated interval of time between each pronouncement #TripleTalaqTruth,NOT,NONE,NONE
hasoc_en_4408,#DoctorsFightBack  Single-handedly one megalomaniac &amp; personified egoistic monster passionately destroys one entire state; nation along with govt watch like mute spectators? India is positively light years away from democracy.,HOF,PRFN,UNT
hasoc_en_759,"The truth is @BorisJohnson wants to keep the UK in the SM and CU, all the bluster of Leaving on the 31st October will be with a 2 year extension, same old WA, “Brexit means Brexit” lies, only one man can deliver Brexit @Nigel_Farage @brexitparty_uk @BrexitMeps",NOT,NONE,NONE
hasoc_en_4089,@Morning_Joe @morningmika When you say white working class that voted for trump... You mean them white #racist!!! Yall can make excuses for them racist &amp; #rapist but we know the truth bout them. @HardballChris @hardball #MondayMotivation #mondaythoughts,HOF,HATE,UNT
hasoc_en_1195,"I still can't believe that #MURDERER #OJ_Simpson got away with it... There is no justice in this world. Hay juice, do the world a favor and crawl into a wood chipper...💩💩💩💩 https://t.co/X5Ydi9KIsp",NOT,NONE,NONE
hasoc_en_60,All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR,NOT,NONE,NONE
hasoc_en_2643,@ICC @TheRealPCB #DhoniKeepsTheGlove #CWC19 #Dhoni #BCCI #ICC #MSD #BalidanBadge  We Indians always find a great way to go crazy when ever we are targeted 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 https://t.co/HovX3BmLqn,NOT,NONE,NONE
hasoc_en_5096,Papadopoulos Taunts Obama's Crooked FBI: 'The Secret Transcripts of My Meeting with Alexander Downer Are Ready to Come Out' https://t.co/bR2JiHHCxY via @gatewaypundit listening to #Douchebag @AdamSchiff yesterday @GeorgePapa19 was #JamesBond #Mueller is a dirty cop #HOAX #MAGA,NOT,NONE,NONE
hasoc_en_3342,"@YRDeshmukh It takes 11 years to become a surgeon and a lifetime to become a good one. Please respect us and what we do. Do not hit doctors, burn hospitals, you have the right to express but there are better ways to do it!  #DoctorsFightBack .",NOT,NONE,NONE
hasoc_en_5654,What a shit show. #Alabama how can you be okay with this? No #abortion exclusion for rape victims but support for #rapist's parental rights? #Boycott #StayOutOfOurBodies #NoFilmingInALhttps://apple.news/ASjeYV8UCSeC1m0ymDR9vtg https://t.co/lyF4AuG4ND,HOF,HATE,TIN
hasoc_en_707,Future Doctors for our politicians  #DoctorsFightBack https://t.co/psC2LmxlMw,NOT,NONE,NONE
hasoc_en_682,"Karyakartas of ABVP Assam protested against the tyrannical rule of Mamata Banerjee where even doctors are not safe!     ABVP strongly condemns the attack on junior doctors in NRS College, Kolkata. We demand that perpetrators should be held and doctors should be served justice. ",NOT,NONE,NONE
hasoc_en_5347,@Akashraaz008 O man just wanted to tell you people that what is your acctual worth. Why you people tries to do what you cant can't bear.   You people started trends #DhoniKeepsTheGlove #DhoniKeepTheGlove #DHONIKESAATHDESH #dhonigloves but at last indian #bentdownitskeens,NOT,NONE,NONE
hasoc_en1_1947,VIVAHIT BaitION KO BHI Patrick KIRSI BHOOMI MAIN BAITON K SAMAN U.P MAIN Adhikar KOUN dilanai KI Kirpa karaiga ? Vicharniy pirsn ? Kya vivahit baition k sath anyay hota rahaiga u.p.main ?,NOT,NONE,NONE
hasoc_en_2416,"#CongGandiNaaliInsult #GandiNaaliAbuse May be that guy, doesn't know Hindi, most thought, they heard him say GandHi Naali !",HOF,OFFN,TIN
hasoc_en_2572,"Watch this clip from 2017, where Boris Johnson shows he simply doesn't have the temperament (let alone maturity) to be next PM of this country    #brexit #BrexitShambles #BorisJohnson #RemainSurge #RemainerNow #RevokeArticle50 #ToryLeadeshipContest #BorisJohnsonShouldNotBePM https://t.co/pVEai5ZJCf",NOT,NONE,NONE
hasoc_en_4985,@BCCI is one greedy corrupt n wat not organisation....  @ICC to hell with you    #Comebackindia     #DhoniKeepsTheGlove,HOF,OFFN,TIN
hasoc_en_2174,"Why they not put the covers in all over the ground, and who make the schedule of world cup ... Dont you knw the weather forcasting before 😕    #ShameOnICC",NOT,NONE,NONE
hasoc_en_4398,@Carterjnelson1 @CoryBooker Says the man who is just returning from a twitter ban 😂😂😂 🖕🏾youre all criminals!   Impeach immediately!   #fucktrump,HOF,PRFN,UNT
hasoc_en1_5534,"world Muslim population explosion is real & will permanently change course of human civilization.    If BJP not take it biggest challenge n control the population,     Dark days r Ahead.    What has not happened in last 10K yrs will happen in next 50 years!    @AmitShah @narendramodi",HOF,HATE,TIN
hasoc_en_2961,"The hypocrisy. The audacity. The stone-faced liar that is our President. #ProtectLGBTQ #HumanRights #FuckTrump #Pride #NotMyPresident    For Pride Month, Trump has nothing to be proud of, activists say  https://t.co/dNDEpsyVm0",HOF,OFFN,TIN
hasoc_en_5303,"Who the hell are U to question him 4 wat to wear or wat to not?It’s his belief. Pak players too offered namaz on cricket ground,do sajda wen dey wins or do century. Der is nothing wrong in it. We do write 786 or Om on our exam papers to get pass. It’s common! #DhoniKeepsTheGlove https://t.co/8dgkUpcU5v",NOT,NONE,NONE
hasoc_en_4919,Bang goes my quite afternoon watching the cricket banging hammering from next door almost forgot what it sounded like #dickhead 🤬,HOF,PRFN,TIN
hasoc_en_1563,Day 5th. No trace of Aircraft. #AN32Aircraft #MissingAN32.  #DhoniKeepsTheGlove #DhoniKeepTheGloves #DhoniAtCWC19 #Dhoni @ysjagan @PrashantKishor @pappuyadavjapl @dileepyadavjnu @yadavakhilesh @Mayawati @yadavtejashwi @laluprasadrjd https://t.co/eRqY3ZuvYf,NOT,NONE,NONE
hasoc_en_3683,@Tazaryach Home of the #douchebag.,NOT,NONE,NONE
hasoc_en_2543,"Nothing much has changed at the #PGIMER #Chandigarh since August 2016, when #Doctors went on strike demanding security at workplace. They are still assaulted now and then by patients’ relatives, who go scot free  #DoctorsFightBack  #doctors_against_assualt @htTweets https://t.co/B0755aJcAw",NOT,NONE,NONE
hasoc_en_5827,@briantylercohen @mattgaetz is such a #douchebag. He would have really gone places in the Third Reich. #smdh,HOF,OFFN,TIN
hasoc_en_369,Trump teases additional deal that Mexican Foreign Secretary suggests doesn't exist #Resist #ResistTrump #FuckTrump https://t.co/f1E69yd5Q2,NOT,NONE,NONE
hasoc_en_5101,@TimesNow @iSamiakapoor Bloody hypocrites. @INCIndia though decimated will not stop fingering. I want 2 see what name will @RahulGandhi take at his oath taking. @drswamy did he respond to the courts on his british citizenship? #PragyaOathRow #congresskaANYAY #CongressMuktBharat @htTweets @AmitShahOffice,HOF,PRFN,TIN
hasoc_en_2578,"There is 60% chance of rain tomorrow...I think ICC should take a wild decision n move this match, only this match to a venue where there is no rain.   A humble request from Indians  @ICC @BCCI @CWC_2019   #WorldCup2019 #ShameOnICC #INDvPAK https://t.co/25Vedbf4oL",NOT,NONE,NONE
hasoc_en_1372,"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/3X2KWUQ1QR",NOT,NONE,NONE
hasoc_en_5186,Saudi crown prince calls for a 'decisive stand' against Iran  #MURDERER why don’t you just gave them murdered as u did with #JamalKhashoggi This thing is a disgrace and any world leader 👂 2 or dealing w/him is no better #DISGRACEFUL murderer #pissonyou  https://t.co/VbhYpMfQJP,HOF,OFFN,TIN
hasoc_en_2285,Vox Sentences: Maine moves to expand abortion access #Resist #ResistTrump #FuckTrump https://t.co/FRjTApznIs,NOT,NONE,NONE
hasoc_en_2307,"#JohnMcCainDay  #FuckTrump     It's Donald Trump's birthday, but it's #JohnMcCainDay on Twitter https://t.co/IBIbmmMvkJ",NOT,NONE,NONE
hasoc_en_3782,"...where they would be reunited in 2003 when Dad passed from esophageal cancer. He gave that 'champion purebred mutt' 13 yrs. he never would've had. After a nine-year break, they were now together eternally.    Rest well, Fredzino.     And oh yeah - #FuckTrump. #JohnMcCainDayJune14",NOT,NONE,NONE
hasoc_en_3648,"@jjrothnc @dcexaminer @KellyannePolls @realDonaldTrump @BarackObama @HillaryClinton May all your kids &amp; grandkids be gay. Evolve as a human being. You support an abomination to God and humankind who has no morality, no human decency and is a #RAPIST.  You need your own soul to be saved.   Depart from me you doers of evil is what #GOD will say to #MAGAts",NOT,NONE,NONE
hasoc_en_596,She is not forgiven and never pardoned. She activated a clone army of Boomer-aged white women inclined to do the very same sh-t to get ahead. So many accounts with #BLM and #FuckTrump plastered all over them were canceled....,HOF,OFFN,TIN
hasoc_en_3775,Trump Is Urged to Fire Kellyanne Conway for Hatch Act Violations #Resist #ResistTrump #FuckTrump https://t.co/S9v9z9wCxu,NOT,NONE,NONE
hasoc_en_271,Today is a contest between   #SuperArmy vs #terroristNationPakistan  It's a war between #125Billionprayer  vs #RainGod  It will be #Walkover or #Washout  #India-6 vs #Terroristan-0 https://t.co/1kHZ1aU402,NOT,NONE,NONE
hasoc_en_607,"Okay to ask PM, but If they also wrote to Mamata Banerji too, then viral that letter also. Why only PM's?    And Anurag Kashyap's toilet has flush problem, he writes on twitter to PM. His electricity is gone,he writes to PM.    IS THIS DEMOCRACY?    You Judge whats right & whats wrong.",HOF,HATE,TIN
hasoc_en_4696,I hope I live long enough to see @AOC be president.    #AlexandriaOcasioCortez #MyCountryTisOfShe  #fuckTrump #Trumpsucks,HOF,PRFN,TIN
hasoc_en_2411,@republic Abusing Modi who is taking Bharat on top ranking on world map Shame #GandiNaaliAbuse ,NOT,NONE,NONE
hasoc_en1_558,You should watch this then you will feel why scholarship is given.,NOT,NONE,NONE
hasoc_en_2846,#GandiNaaliAbuse -  Abuse is the last resort of scoundrels and in this case - electorally defeated scoundrels.,HOF,HATE,TIN
hasoc_en_4569,"@realDonaldTrump @OANN LOL 😂.  If it wasn't so PATHETIC... it would be funny that you think you've accomplished so much.  You've accomplished NOTHING... except divide this country !!  You are the absolute WORST one-term, so-called President EVER    #TrumpIsATraitor",HOF,OFFN,TIN
hasoc_en_5229,@realDonaldTrump Now THAT’S some #FakeNews right there! #TrumpObstructedJustice #TrumpLiesMatter #TreasonousTrump #TrumpsWorseThanNixon  #TrumpIsTrash #TrumpForPrison2020 #FuckTrump,HOF,OFFN,TIN
hasoc_en1_3520,Best Totichor in the worldproud you sir❤❤❤,HOF,OFFN,TIN
hasoc_en_5081,We wait until 7.30 in the evening in Aus just to know its raining today. Rain 1: Cricket 0 #ShameOnICC,HOF,HATE,TIN
hasoc_en_2555,Cricket in Rainy season was really a Great idea #ShameOnICC,NOT,NONE,NONE
hasoc_en_1500,Cannot wait until Sunday &amp; @GStephanopoulos interview with #Trump!   If they released the BOMBSHELLS they did - then what is @ABC saving for the ratings?  #TrumpTantrum #ABCNews #TrumpIsATraitor,NOT,NONE,NONE
hasoc_en_3337,@MTPSU1987 Thank you.   #JohnMcCainDay #BillionDollarLoser #GOPComplicitTraitors #gopcrimesyndicate #TrumpIsATraitor #TrumpTheGrifter #TrumpCrimeFamily #CadetBoneSpurs #TrumpRussia #TrumpObstructedJustice https://t.co/cAvdrG2ucx,NOT,NONE,NONE
hasoc_en_3957,ICC is not God. If we give in today then tomorrow they will ask us to remove sacred threads worn by players of all religions on their hands and neck.   #DhoniKeepsTheGlove   #DhoniKeSaathDesh   #ISupportDhoni,HOF,HATE,TIN
hasoc_en_4533,@qq_american @CNN @realDonaldTrump WTF does this even mean? You’re losing this back and forth.  #fatnixon #liar #philanderer #douchebag #nonchristian #bully #shitstainonamerica #youlikeassholes,NOT,NONE,NONE
hasoc_en_2079,🤡 Happy Birthday President tRumpf! https://t.co/2O47krtroc #JohnMCainDay #TrumpBirthday #HappyBirthdayTrump #fuckTrump #resist,NOT,NONE,NONE
hasoc_en_4713,"@Emmabarnett MPs who support a candidate with serial misbehaviour to be PM (#BorisJohnsonShouldNotBePM ) will face the music when they come for re-election. #BorisJohnson is the blankey blank candidate who can't be bothered to defend what he is suppose to stand for, so why back a blank brain?",HOF,HATE,TIN
hasoc_en_1792,Pretty sure this crowd of attendees eclipses those at the “inauguration” in 2017 @realDonaldTrump  😂😂😂😂😂 #TrumpsWorseThanNixon #ImpeachTrumpNow #trumpsucks #TrumpIsATraitor https://t.co/p48iQqc3ys,NOT,NONE,NONE
hasoc_en_4727,"@jontaffer I missed the last 15 minutes, but that guy was a #douchebag",NOT,NONE,NONE
hasoc_en_1490,"@vp Here, let me fix this quote/headline for you: 'I'm An Asshole.'  #fuckpence #fucktrump #loveislove #pride https://t.co/H1LKjbkD3f",HOF,PRFN,TIN
hasoc_en_4601,"In #Alabama......#Rapists.... get #Parental rights.     So a teen Raped by their #Rapist, can't get an #Abortion  but they MUST let their #Rapist see the child.    https://t.co/C2aECd6JaL #Auburn #Huntsville #Birmingham  #Montgomery #Tuscaloosa #Florencesc #Dothan #gadsen #OrangeBeach",HOF,HATE,TIN
hasoc_en_519,"@MamataOfficial's nephew, #TMC MP  @idevadhikari too.. https://t.co/FsAiEf3D2d    #DoctorsProtest #DoctorsFightBack #doctorsstrike #Savethedoctors #SaveBengal",NOT,NONE,NONE
hasoc_en_4505,@SpeakerPelosi @RepAdamSchiff OMG! ANNOUNCE THE OPENING OF AN #ImpeachmentInquiry NOW! TRUMP PRESENTS A CLEAR AND PRESENT DANGER TO U.S. DEMOCRACY!!!#TrumpElectionTampering #TrumpObstructedJustice #TrumpIsATraitor #TrumpsWorseThanNixon https://t.co/VXBfJWX6WY,HOF,HATE,TIN
hasoc_en_4106,Retweet this forever. #TrumpRussia #TrumpIsACrook #TrumpRussia #TrumpIsATraitor https://t.co/15NxEvoKcd,HOF,HATE,TIN
